Epoch | Train Loss | Val Loss | Learning Rate
----------------------------------------
Epoch 0000 | Train Loss: 2.0098e+00 | Val Loss: 5.5199e+00 | LR: 1.00e-04
Epoch 0500 | Train Loss: 1.2418e+00 | Val Loss: 4.9426e+00 | LR: 1.00e-04
Epoch 1000 | Train Loss: 1.0027e+00 | Val Loss: 3.0704e+00 | LR: 1.00e-04
Epoch 1500 | Train Loss: 8.2752e-01 | Val Loss: 1.5935e+00 | LR: 1.00e-04
Epoch 2000 | Train Loss: 6.8009e-01 | Val Loss: 1.1739e+00 | LR: 1.00e-04
Epoch 2500 | Train Loss: 5.4216e-01 | Val Loss: 8.9425e-01 | LR: 1.00e-04
Epoch 3000 | Train Loss: 4.2288e-01 | Val Loss: 6.8282e-01 | LR: 1.00e-04
Epoch 3500 | Train Loss: 3.1783e-01 | Val Loss: 4.9402e-01 | LR: 1.00e-04
Epoch 4000 | Train Loss: 8.1169e-02 | Val Loss: 1.8466e-01 | LR: 1.00e-04
Epoch 4500 | Train Loss: 6.9244e-02 | Val Loss: 1.5575e-01 | LR: 1.00e-04
Epoch 5000 | Train Loss: 5.9061e-02 | Val Loss: 1.3046e-01 | LR: 1.00e-04
Epoch 5500 | Train Loss: 4.7697e-02 | Val Loss: 1.0633e-01 | LR: 1.00e-04
Epoch 6000 | Train Loss: 4.1325e-02 | Val Loss: 9.3376e-02 | LR: 1.00e-04
Epoch 6500 | Train Loss: 3.5505e-02 | Val Loss: 8.1489e-02 | LR: 1.00e-04
Epoch 7000 | Train Loss: 3.0106e-02 | Val Loss: 7.4456e-02 | LR: 1.00e-04
Epoch 7500 | Train Loss: 2.7122e-02 | Val Loss: 6.8158e-02 | LR: 1.00e-04
Epoch 8000 | Train Loss: 2.4849e-02 | Val Loss: 6.2134e-02 | LR: 1.00e-04
Epoch 8500 | Train Loss: 2.2903e-02 | Val Loss: 5.6354e-02 | LR: 1.00e-04
Epoch 9000 | Train Loss: 2.1109e-02 | Val Loss: 5.1216e-02 | LR: 1.00e-04
Epoch 9500 | Train Loss: 1.9321e-02 | Val Loss: 4.6565e-02 | LR: 1.00e-04
Epoch 10000 | Train Loss: 1.7533e-02 | Val Loss: 4.2068e-02 | LR: 1.00e-04
Epoch 10500 | Train Loss: 1.5823e-02 | Val Loss: 3.7704e-02 | LR: 1.00e-04
Epoch 11000 | Train Loss: 1.4428e-02 | Val Loss: 3.4053e-02 | LR: 1.00e-04
Epoch 11500 | Train Loss: 1.3283e-02 | Val Loss: 3.0710e-02 | LR: 1.00e-04
Epoch 12000 | Train Loss: 1.1621e-02 | Val Loss: 2.8229e-02 | LR: 1.00e-04
Epoch 12500 | Train Loss: 1.0941e-02 | Val Loss: 2.6107e-02 | LR: 1.00e-04
Epoch 13000 | Train Loss: 1.0340e-02 | Val Loss: 2.4379e-02 | LR: 1.00e-04
Epoch 13500 | Train Loss: 9.7678e-03 | Val Loss: 2.2499e-02 | LR: 1.00e-04
Epoch 14000 | Train Loss: 9.2260e-03 | Val Loss: 2.0990e-02 | LR: 1.00e-04
Epoch 14500 | Train Loss: 8.7163e-03 | Val Loss: 1.9442e-02 | LR: 1.00e-04
Epoch 15000 | Train Loss: 8.2425e-03 | Val Loss: 1.8172e-02 | LR: 1.00e-04
Epoch 15500 | Train Loss: 7.8178e-03 | Val Loss: 1.6798e-02 | LR: 1.00e-04
Epoch 16000 | Train Loss: 7.1344e-03 | Val Loss: 1.5308e-02 | LR: 1.00e-04
Epoch 16500 | Train Loss: 6.7113e-03 | Val Loss: 1.3967e-02 | LR: 1.00e-04
Epoch 17000 | Train Loss: 6.3529e-03 | Val Loss: 1.2839e-02 | LR: 1.00e-04
Epoch 17500 | Train Loss: 6.0140e-03 | Val Loss: 1.1738e-02 | LR: 1.00e-04
Epoch 18000 | Train Loss: 5.6721e-03 | Val Loss: 1.0555e-02 | LR: 1.00e-04
Epoch 18500 | Train Loss: 5.3578e-03 | Val Loss: 9.4030e-03 | LR: 1.00e-04
Epoch 19000 | Train Loss: 5.1123e-03 | Val Loss: 8.8113e-03 | LR: 1.00e-04
Epoch 19500 | Train Loss: 4.9128e-03 | Val Loss: 8.4110e-03 | LR: 1.00e-04
Epoch 20000 | Train Loss: 4.7377e-03 | Val Loss: 8.0629e-03 | LR: 1.00e-04
Epoch 20500 | Train Loss: 4.5720e-03 | Val Loss: 7.7565e-03 | LR: 1.00e-04
Epoch 21000 | Train Loss: 4.4167e-03 | Val Loss: 7.4744e-03 | LR: 1.00e-04
Epoch 21500 | Train Loss: 4.2711e-03 | Val Loss: 7.1901e-03 | LR: 1.00e-04
Epoch 22000 | Train Loss: 4.1364e-03 | Val Loss: 6.9237e-03 | LR: 1.00e-04
Epoch 22500 | Train Loss: 4.0106e-03 | Val Loss: 6.6768e-03 | LR: 1.00e-04
Epoch 23000 | Train Loss: 3.8940e-03 | Val Loss: 6.4621e-03 | LR: 1.00e-04
Epoch 23500 | Train Loss: 3.7833e-03 | Val Loss: 6.2646e-03 | LR: 1.00e-04
Epoch 24000 | Train Loss: 3.6804e-03 | Val Loss: 6.0601e-03 | LR: 1.00e-04
Epoch 24500 | Train Loss: 3.5823e-03 | Val Loss: 5.9095e-03 | LR: 1.00e-04
Epoch 25000 | Train Loss: 3.4911e-03 | Val Loss: 5.7451e-03 | LR: 1.00e-04
Epoch 25500 | Train Loss: 3.4033e-03 | Val Loss: 5.6268e-03 | LR: 1.00e-04
Epoch 26000 | Train Loss: 3.3203e-03 | Val Loss: 5.4563e-03 | LR: 1.00e-04
Epoch 26500 | Train Loss: 3.2420e-03 | Val Loss: 5.3210e-03 | LR: 1.00e-04
Epoch 27000 | Train Loss: 3.1644e-03 | Val Loss: 5.2105e-03 | LR: 1.00e-04
Epoch 27500 | Train Loss: 3.0923e-03 | Val Loss: 5.0987e-03 | LR: 1.00e-04
Epoch 28000 | Train Loss: 3.0227e-03 | Val Loss: 4.9598e-03 | LR: 1.00e-04
Epoch 28500 | Train Loss: 2.9566e-03 | Val Loss: 4.8629e-03 | LR: 1.00e-04
Epoch 29000 | Train Loss: 2.8939e-03 | Val Loss: 4.7857e-03 | LR: 1.00e-04
Epoch 29500 | Train Loss: 2.8349e-03 | Val Loss: 4.6881e-03 | LR: 1.00e-04
Epoch 30000 | Train Loss: 2.7766e-03 | Val Loss: 4.6560e-03 | LR: 1.00e-04
Epoch 30500 | Train Loss: 2.7201e-03 | Val Loss: 4.5294e-03 | LR: 1.00e-04
Epoch 31000 | Train Loss: 2.6673e-03 | Val Loss: 4.4776e-03 | LR: 1.00e-04
Epoch 31500 | Train Loss: 2.6162e-03 | Val Loss: 4.3986e-03 | LR: 1.00e-04
Epoch 32000 | Train Loss: 2.5673e-03 | Val Loss: 4.3071e-03 | LR: 1.00e-04
Epoch 32500 | Train Loss: 2.5204e-03 | Val Loss: 4.2334e-03 | LR: 1.00e-04
Epoch 33000 | Train Loss: 2.4735e-03 | Val Loss: 4.2132e-03 | LR: 1.00e-04
Epoch 33500 | Train Loss: 2.4297e-03 | Val Loss: 4.1371e-03 | LR: 1.00e-04
Epoch 34000 | Train Loss: 2.3863e-03 | Val Loss: 4.1019e-03 | LR: 1.00e-04
Epoch 34500 | Train Loss: 2.3448e-03 | Val Loss: 3.9911e-03 | LR: 1.00e-04
Epoch 35000 | Train Loss: 2.3051e-03 | Val Loss: 3.9639e-03 | LR: 1.00e-04
Epoch 35500 | Train Loss: 2.2673e-03 | Val Loss: 3.9465e-03 | LR: 1.00e-04
Epoch 36000 | Train Loss: 2.2270e-03 | Val Loss: 3.8646e-03 | LR: 1.00e-04
Epoch 36500 | Train Loss: 2.1907e-03 | Val Loss: 3.8082e-03 | LR: 1.00e-04
Epoch 37000 | Train Loss: 2.1557e-03 | Val Loss: 3.7218e-03 | LR: 1.00e-04
Epoch 37500 | Train Loss: 2.1185e-03 | Val Loss: 3.6904e-03 | LR: 1.00e-04
Epoch 38000 | Train Loss: 2.0851e-03 | Val Loss: 3.6695e-03 | LR: 1.00e-04
Epoch 38500 | Train Loss: 2.0515e-03 | Val Loss: 3.6224e-03 | LR: 1.00e-04
Epoch 39000 | Train Loss: 2.0204e-03 | Val Loss: 3.5806e-03 | LR: 1.00e-04
Epoch 39500 | Train Loss: 1.9885e-03 | Val Loss: 3.5506e-03 | LR: 1.00e-04
Epoch 40000 | Train Loss: 1.9569e-03 | Val Loss: 3.4918e-03 | LR: 1.00e-04
Epoch 40500 | Train Loss: 1.9248e-03 | Val Loss: 3.4026e-03 | LR: 1.00e-04
Epoch 41000 | Train Loss: 1.8945e-03 | Val Loss: 3.3651e-03 | LR: 1.00e-04
Epoch 41500 | Train Loss: 1.8654e-03 | Val Loss: 3.3465e-03 | LR: 1.00e-04
Epoch 42000 | Train Loss: 1.8360e-03 | Val Loss: 3.3041e-03 | LR: 1.00e-04
Epoch 42500 | Train Loss: 1.8056e-03 | Val Loss: 3.2398e-03 | LR: 1.00e-04
Epoch 43000 | Train Loss: 1.7763e-03 | Val Loss: 3.1723e-03 | LR: 1.00e-04
Epoch 43500 | Train Loss: 1.7456e-03 | Val Loss: 3.1539e-03 | LR: 1.00e-04
Epoch 44000 | Train Loss: 1.7162e-03 | Val Loss: 3.0881e-03 | LR: 1.00e-04
Epoch 44500 | Train Loss: 1.6856e-03 | Val Loss: 3.0694e-03 | LR: 1.00e-04
Epoch 45000 | Train Loss: 1.6558e-03 | Val Loss: 3.0404e-03 | LR: 1.00e-04
Epoch 45500 | Train Loss: 1.6266e-03 | Val Loss: 2.9915e-03 | LR: 1.00e-04
